anthropic_vote,available,case_id,counts,estimated_input_tokens,gemini_vote,grok_vote,image_basename,image_fingerprint_hash,normalised_input_hash,openai_vote,original_case_id,outlier_provider,outlier_vote,pattern,pre_score,quote_fingerprint_hash,quote_hash,selection_reason,signals,source_subset
replace,4,55f5cd6d633c143f5170,"{""keep"": 1, ""replace"": 3}",2344,keep,replace,tg_661b01c39a8d223df51cd0365e79ffe7e3c4f86ac81fa0af114ce95be49cb831.png,0c21ff4e58aadab42b22be18b75af462f76ad79691d240e7dec47f1ba7707c60,688685bada7ca32b31a5354e15f94fc28a45af70c3c151d729fc7eaa0c270bd6,replace,55f5cd6d633c143f5170,gemini,keep,3_replace_1_keep,,e079502ecf42a690ac247fe14e887f8eb8a59182ffd3060e733941d1d7a9ef0e,1ae9443573e42259af54c30a0ec90a6a8746e640b09e53ae1c28a4c0a2d0ed6b,original_25_regression,,fixed_regression
replace,4,d95fd04248974978c79e,"{""replace"": 4}",2180,replace,replace,tg_a017d22c575c01e7eb9c8287e1b62f85d07c34a1a663d2eac974d995ace7f83c.png,713f2e5fb96cd3522976a2be7fae9b6fe765a34a4a7857f943276229080c7f5f,d95c693a54c2ce83d79a2d839de3ad8a0bae8b79d3d6e29bf5c196139f146649,replace,d95fd04248974978c79e,,,4_replace,,35e5abcee463ea321258412cb9567705da8477c0398d34da68eb96c3b108dbc3,d2a571603bea2a48a2f4b766e42896a221479403408e3895fccb64dea6e66283,original_25_regression,,fixed_regression
replace,4,45aff3c1240a3010165b,"{""replace"": 4}",1940,replace,replace,tg_56ad83fce3f67cb04eaa9bf4baaf858d776971e7e52f29e9c97f58a1b964e2f7.png,f45bdb867dc0d6473e7342af02226fed98e665495458e754e55cae578aeaf5eb,6868c473f9a3d25300c8b05a0a83f5e3f28432f1d3d2667074dae0977f772bcb,replace,45aff3c1240a3010165b,,,4_replace,,d6dfa80ffa5406372c243b761d8c0cf68f4b1c1e8b0ad015667d2d3239529439,5d362ba54e7c2a8a0e70353dfe3d434ef151b45d9b49b76d3297d6c55a1c41a1,original_25_regression,,fixed_regression
replace,4,db9adeebf2c41956d290,"{""replace"": 4}",2001,replace,replace,tg_824439e38ce85afa03c44fdee8ce1845235937862c05610fc5636db8767546af.png,e1fcd3a784dfa620f729b2237a384f22ed78c6ec21c388c886e3bb03a2d22bf6,10c4a2b14b00c37f53e34f6da562a209dd22207df981c797f6e6b785cb7fa06f,replace,db9adeebf2c41956d290,,,4_replace,,f6b6a2483c55b0ef3c0dfba4f17ed7ebbc6f95ce07abde23f4efdc38eb7d2d93,eb1d2ebaac7e321e67174d2db5761d2bd008341ebb04b1abac4d4a927cd7a7d4,original_25_regression,,fixed_regression
replace,4,bdd510a8157a6fb7ec70,"{""replace"": 4}",2001,replace,replace,tg_15bd818b86c205c6364eac5614bdda8a9daa968bc6336d9605cf05dacc6a7712.png,64fee7eaa6ff07d92b4aae6a4879d19fdecd51c656355902e4542d5646fd5b4a,97011285ac0147e37acdf73231e27cc5dfffda0731f69ca345dd815b9d96244d,replace,bdd510a8157a6fb7ec70,,,4_replace,,33d54d5ea5a1b17f841b6fb83eaec4bfd4e6b923f6a90c136d533f29fda85cf8,c4be0811f3a80d19bb31e2359b1931af3e0aea449c46311c290d39a2cd7aba71,original_25_regression,,fixed_regression
replace,4,cd34f0ecdf6711ec4b2d,"{""replace"": 4}",2230,replace,replace,tg_c5d53bc0acdfd5d99f34fcaa9963cf742d3f2c67a49fe49259cb3afb17e41956.png,9adf1dc79f05cc740fdd2add38de7ba113b498342b331e3984d56eb69d6793d9,8b31fc202d3d7e2c521cae7d891bf922c811a994658da37171542a5fee1a07b4,replace,cd34f0ecdf6711ec4b2d,,,4_replace,,d767277c4685a6c3e78d4dbd690cbdaf6e910263b4ce5be624c8328a781f19b9,674edd406aaf07fbc4ca5e75563eda331453fdd240176531871d0671c6473113,original_25_regression,,fixed_regression
replace,4,15d14fb68d063c94ab76,"{""replace"": 4}",2247,replace,replace,tg_d771b1b3e3d67068e8b884fbcd2d8bbe4a06da942868023caae49a45957e3d44.png,48f502253d582246ac729ea64550795a5bfe73a43789e7fc6afe6bd3975725cc,5513d9906d58c1a36fbaccc9c3740e037a40bad6b33cdbf3be40999b6497767a,replace,15d14fb68d063c94ab76,,,4_replace,,38a7e6a1da03ca06ebcd45f26490d6d90c19df5fcf166bc314021bda45d1f784,1244294a90af385fe940a432fab296f43725644d318cb011c7080482115a0236,original_25_regression,,fixed_regression
replace,4,9729da4b58d3d56e5c05,"{""replace"": 4}",1988,replace,replace,tg_a8afc3ebabfea07d2de701cc086c1119649217548f8e662cb09d062ea0bb5d54.png,4487de66030049a0716d24f0ef0ce5eb4e1e39d5a9abf160c8a34e9e9fae87f4,97e77a0a28d6ba173440cc09c50df12e7b801baa163044290eeb3962f7bca0f4,replace,9729da4b58d3d56e5c05,,,4_replace,,2afb014ca564b05c28055bbf1d105edd3feda8c7d484587c62ce74bd6b5b9bc6,3cd13a785eecfd49b729975a64f2ef7dddba26ee7045f879faf5aa19790a9b87,original_25_regression,,fixed_regression
replace,4,0117c8919c5fdb98d8ff,"{""replace"": 4}",1768,replace,replace,tg_5ceb13e34965449fa47555c1e2108e196fb1570290539ef580758be01671a614.png,e79ef80c99ddaeaa82d56f4d38bd3a83de847ca73b87fb61b0e0e981b1488663,c2ae55308d6c25ea315a11034672ed761b7456e0b494f9d3580a5d350ffa821e,replace,0117c8919c5fdb98d8ff,,,4_replace,,152a28c7eb7f3b9eab75bda5ff5c9de94f7b2124db7b73abeefac9b9a8faf47c,5f343702a183a99143ff0935165238b5d5ee0732521a258470450e207fb147e5,original_25_regression,,fixed_regression
replace,4,ad5a52dcf9f0f123e8ee,"{""replace"": 4}",1885,replace,replace,tg_2051b1ac566abdb8335f8967f32f8f23bd71b4fb2cb0231659869045868b14c9.png,0de94aa87dbda6c3f24eae3a2d9c54d6058e48069306726f97bb948d58be62c2,79e503574dfe74750f5c98e0ad9dbbb6f0ed1d4cbd6975ef9fa1edfdcb7c1359,replace,ad5a52dcf9f0f123e8ee,,,4_replace,,149af28ed1e2ca4c36f8a156f7b439c96d548f3b332bef8996a913c464b147c1,6ac017d0c76fbcec1a7ab2e2ab9ba7b26948530df626f42de04192b15fda4039,original_25_regression,,fixed_regression
