case_id,quote_hash,current_winner,challenger,provenance,trace_file,post_index,current_sha256,challenger_sha256,production_score,topic_score,editorial_quality,eligibility_verified
ba18bbea3acd4594ecf9,1ae9443573e42259af54c30a0ec90a6a8746e640b09e53ae1c28a4c0a2d0ed6b,tg_8032ac6c90f358c9f5146680280edda94a7475b752b3c8e64c1670ba64986822.png,tg_d4013aa361485ab2894f71e426c705de78455e93d37fe3f4d2ae27727c70c88c.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0017/selections.jsonl,22,c23f6a374a45a548fbcec9d004ba45c454b4e84980a73ea21fefccce2ef2bef8,2ddc97831ec62a35c4de326dc154d8e1b9f31aef27bca3b106fc432da27c843d,63.548989,48.58898943540674,88,True
a449d3bd87a040ed34b1,230b8d71f541acfc6a18d0a29f508eddf33b90d0f25beb736ba83ac1fb1cfc1a,tg_fbaf32a54650f629731270135c319348343a6c08189e71f22ccb74b1a1d89521.png,tg_093fe18b5e8a685a1ec1a38813fa2dfddce5ca84853723c13d1dfc2a6ac4a429.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0006/selections.jsonl,55,e571ed517f83231a9a798627bad251811bf0c5e0a63d0a9d7b4098ffae7278bf,a15174318506daa9333521d84032620c0266d1220afd6f95d6a60d131ddf190e,110.183628,76.38362753961898,90,True
38dab10d66214a8f33ef,08be01c1fe5fc197294f854d99c293c1d85039b4a0576a9f50db5943d9071560,tg_f898abc6e133d50485c751bc2f30ca71ab4c34f3f1000b29c9142a2d518e086d.png,tg_7d6ced255a74d563b6ba9811429970c51f605647aac25819e14104f836d93434.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0000/selections.jsonl,186,6dec2b9cd288e863cea541bec391aa69f1a8190a8ab0844c7fefc0d5136f2c11,8b769b6c89fc2d45d214cdc39fef3f27a9149052bc64e022466323ab6dd06f63,109.881314,87.84131395714174,92,True
dbbca3ff711dd4d9eba3,08be01c1fe5fc197294f854d99c293c1d85039b4a0576a9f50db5943d9071560,tg_f898abc6e133d50485c751bc2f30ca71ab4c34f3f1000b29c9142a2d518e086d.png,tg_90af9e1629ef38b0590076820045b36c3540189f849fc38d7cdbbbea4ae2c1b2.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0007/selections.jsonl,165,6dec2b9cd288e863cea541bec391aa69f1a8190a8ab0844c7fefc0d5136f2c11,02004b2cca2df1c5199bd50b0b8ababffb464bdccb6d4eb7c82647a3dc52f18e,103.601314,87.84131395714174,88,True
649b2360f0d35e006a3f,0acb6cd5c5ec0ed58b882f3f4077b6f65f04b100ebfde6ace075c1993736b51a,tg_d116b04e74175d66ec440a8cb9c207a3f2d93f5f8cc55115ba00d25fcd3da08f.png,tg_0056972ab9debcb840c36ac23ad0387e715cb22fc4ed49dbcf35159f83592aa5.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0002/selections.jsonl,117,f904a13136da43e43ca5b3aa646a006354698eb3df68910759a4e0fedfbf627b,2beeca3ab674727584033790bd233b3302349040437bd90284165b2fc691b8d9,62.819527,25.61952735684057,90,True
5ed5302a6e333567d058,0ece322a106d6443bef89c14e769b28e8a19db61bbefa53c298cb206c2031ffa,tg_c0db67b6bec353f4bb347372df011d499bd337d76513f4f5de4a223f3ff99247.png,tg_093fe18b5e8a685a1ec1a38813fa2dfddce5ca84853723c13d1dfc2a6ac4a429.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0015/selections.jsonl,40,9ac59889250238b87d0b180f9a664161526151645a5c4116b1ad29cecaf9d817,a15174318506daa9333521d84032620c0266d1220afd6f95d6a60d131ddf190e,91.678073,56.878073126711676,90,True
4e7cbd5baa5aafa9418f,0ece322a106d6443bef89c14e769b28e8a19db61bbefa53c298cb206c2031ffa,tg_fbaf32a54650f629731270135c319348343a6c08189e71f22ccb74b1a1d89521.png,tg_093fe18b5e8a685a1ec1a38813fa2dfddce5ca84853723c13d1dfc2a6ac4a429.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0014/selections.jsonl,74,e571ed517f83231a9a798627bad251811bf0c5e0a63d0a9d7b4098ffae7278bf,a15174318506daa9333521d84032620c0266d1220afd6f95d6a60d131ddf190e,91.678073,56.878073126711676,90,True
3fb10ed9b7e50c851995,1100f7567ba493ed9044f6ba234bcbec3d99c9918bfc0ca33cd03ed56d44689a,tg_d4013aa361485ab2894f71e426c705de78455e93d37fe3f4d2ae27727c70c88c.png,tg_5fbdcee710fe7e18425f4eeefe811890b3c8a03803f78b23685ad11309840679.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0000/selections.jsonl,37,2ddc97831ec62a35c4de326dc154d8e1b9f31aef27bca3b106fc432da27c843d,592dcafc64179abae86f6b8c63e19e6f91c3e4625e6c5b821dd38dcf3d3db691,62.450435,30.350434914150167,90,True
de48e09553c333d2edb5,19b4b12f040bed61c1804b573327e36f4cc485636d799602a476e0b89fc8e8b1,tg_661b01c39a8d223df51cd0365e79ffe7e3c4f86ac81fa0af114ce95be49cb831.png,tg_d4013aa361485ab2894f71e426c705de78455e93d37fe3f4d2ae27727c70c88c.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0015/selections.jsonl,55,4a06f5d44cd41461d9ba97056b3bf9a9552cc6e062a2567a38e46688c0056857,2ddc97831ec62a35c4de326dc154d8e1b9f31aef27bca3b106fc432da27c843d,53.964375,32.00437544022065,88,True
03ef27b13bd503905246,19b4b12f040bed61c1804b573327e36f4cc485636d799602a476e0b89fc8e8b1,tg_d4013aa361485ab2894f71e426c705de78455e93d37fe3f4d2ae27727c70c88c.png,tg_6f70887295eff72d62a86e86c3983e7d960cafd35784e0f5d6a4d790558cf37b.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0011/selections.jsonl,28,2ddc97831ec62a35c4de326dc154d8e1b9f31aef27bca3b106fc432da27c843d,50c916e59dce543590ec22417469973f7de3003c9841e67f113b4da497bd4732,48.926115,30.16611478423583,88,True
871cef5a200df1b4c849,3ba6cfba4bbf0673ce1cf563fb9de4821aded8422c64cbcd4218bf8da951f24d,tg_59b18840cbf67ac4a14a64f3858e7fcee40dfb483db36ec5b911fc22592dffaa.png,tg_661b01c39a8d223df51cd0365e79ffe7e3c4f86ac81fa0af114ce95be49cb831.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0008/selections.jsonl,16,8599c7b013acc84d14abbd9809ec3154c9d00ac46a5fc6340088ab17faf0f2ee,4a06f5d44cd41461d9ba97056b3bf9a9552cc6e062a2567a38e46688c0056857,72.841717,39.08171700501653,88,True
42f7c7f901e65773d1d9,3ba6cfba4bbf0673ce1cf563fb9de4821aded8422c64cbcd4218bf8da951f24d,tg_59b18840cbf67ac4a14a64f3858e7fcee40dfb483db36ec5b911fc22592dffaa.png,tg_6ecc88f6e06f86515044a409421f059b2cf756001b9a6929a0183808a9b2e19e.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0004/selections.jsonl,31,8599c7b013acc84d14abbd9809ec3154c9d00ac46a5fc6340088ab17faf0f2ee,59e930da6593f1858876467f1c2426399d003b4b5733836f17da9baf594877ea,60.381717,39.08171700501653,90,True
18d9c05171a3b7771300,3ba6cfba4bbf0673ce1cf563fb9de4821aded8422c64cbcd4218bf8da951f24d,tg_661b01c39a8d223df51cd0365e79ffe7e3c4f86ac81fa0af114ce95be49cb831.png,tg_6ecc88f6e06f86515044a409421f059b2cf756001b9a6929a0183808a9b2e19e.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0005/selections.jsonl,28,4a06f5d44cd41461d9ba97056b3bf9a9552cc6e062a2567a38e46688c0056857,59e930da6593f1858876467f1c2426399d003b4b5733836f17da9baf594877ea,60.381717,39.08171700501653,90,True
c4b43d7652a5a705a041,5ff1169a7688823bd091284eaafe66348fc0d2fde67146ff2b20738b14a6663c,tg_661b01c39a8d223df51cd0365e79ffe7e3c4f86ac81fa0af114ce95be49cb831.png,tg_8032ac6c90f358c9f5146680280edda94a7475b752b3c8e64c1670ba64986822.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0018/selections.jsonl,7,4a06f5d44cd41461d9ba97056b3bf9a9552cc6e062a2567a38e46688c0056857,c23f6a374a45a548fbcec9d004ba45c454b4e84980a73ea21fefccce2ef2bef8,78.512821,79.71282107369771,85,True
483d70018034a5288942,5ff1169a7688823bd091284eaafe66348fc0d2fde67146ff2b20738b14a6663c,tg_8032ac6c90f358c9f5146680280edda94a7475b752b3c8e64c1670ba64986822.png,tg_d4013aa361485ab2894f71e426c705de78455e93d37fe3f4d2ae27727c70c88c.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0012/selections.jsonl,28,c23f6a374a45a548fbcec9d004ba45c454b4e84980a73ea21fefccce2ef2bef8,2ddc97831ec62a35c4de326dc154d8e1b9f31aef27bca3b106fc432da27c843d,64.548989,48.58898943540674,88,True
044824e1b0a5d2fbdb1f,8312afd41d8a4871f7c62f21e6bab0840e48aef15d48e311fc152cc1e1d03e1d,tg_d116b04e74175d66ec440a8cb9c207a3f2d93f5f8cc55115ba00d25fcd3da08f.png,tg_596607c93f9aca406d8543ecc792e9a87fad06354303a69663df183d7417a764.png,exact_simulator_runner_up,/disks/disk1/etc/mrsMThatcher/simulation_runs/audit_evidence_20x250_20260710/runs/run_0012/selections.jsonl,186,f904a13136da43e43ca5b3aa646a006354698eb3df68910759a4e0fedfbf627b,2067d9e256f9b6aff6c616cf5b7a9e6c9c301475b9cdde0ff4db81426466d62b,50.939757,33.979756816580654,88,True
