end_index,first_reconvergence_index,length,pair,reconverged,run_id,start_index
4,5,1,production_editorial,True,run_0000,4
14,15,1,production_editorial,True,run_0000,14
16,17,1,production_editorial,True,run_0000,16
20,21,2,production_editorial,True,run_0000,19
26,27,2,production_editorial,True,run_0000,25
29,30,1,production_editorial,True,run_0000,29
32,33,2,production_editorial,True,run_0000,31
35,36,2,production_editorial,True,run_0000,34
40,41,1,production_editorial,True,run_0000,40
44,45,2,production_editorial,True,run_0000,43
47,48,2,production_editorial,True,run_0000,46
50,51,2,production_editorial,True,run_0000,49
53,54,2,production_editorial,True,run_0000,52
56,57,2,production_editorial,True,run_0000,55
58,59,1,production_editorial,True,run_0000,58
73,74,1,production_editorial,True,run_0000,73
91,92,1,production_editorial,True,run_0000,91
94,95,1,production_editorial,True,run_0000,94
104,105,2,production_editorial,True,run_0000,103
113,114,2,production_editorial,True,run_0000,112
121,122,1,production_editorial,True,run_0000,121
124,125,1,production_editorial,True,run_0000,124
127,128,1,production_editorial,True,run_0000,127
130,131,1,production_editorial,True,run_0000,130
134,135,1,production_editorial,True,run_0000,134
137,138,1,production_editorial,True,run_0000,137
139,140,1,production_editorial,True,run_0000,139
143,144,1,production_editorial,True,run_0000,143
149,150,2,production_editorial,True,run_0000,148
152,153,2,production_editorial,True,run_0000,151
155,156,1,production_editorial,True,run_0000,155
165,166,1,production_editorial,True,run_0000,165
189,190,2,production_editorial,True,run_0000,188
191,192,1,production_editorial,True,run_0000,191
195,196,3,production_editorial,True,run_0000,193
211,212,15,production_editorial,True,run_0000,197
221,222,9,production_editorial,True,run_0000,213
230,231,8,production_editorial,True,run_0000,223
233,234,2,production_editorial,True,run_0000,232
247,248,12,production_editorial,True,run_0000,236
6,7,1,production_identity,True,run_0000,6
20,21,1,production_identity,True,run_0000,20
25,26,1,production_identity,True,run_0000,25
28,29,1,production_identity,True,run_0000,28
31,32,1,production_identity,True,run_0000,31
43,44,1,production_identity,True,run_0000,43
46,47,1,production_identity,True,run_0000,46
64,65,1,production_identity,True,run_0000,64
77,78,1,production_identity,True,run_0000,77
114,115,1,production_identity,True,run_0000,114
135,136,16,production_identity,True,run_0000,120
147,148,11,production_identity,True,run_0000,137
159,160,11,production_identity,True,run_0000,149
162,163,1,production_identity,True,run_0000,162
165,166,1,production_identity,True,run_0000,165
168,169,1,production_identity,True,run_0000,168
171,172,1,production_identity,True,run_0000,171
173,174,1,production_identity,True,run_0000,173
179,180,1,production_identity,True,run_0000,179
183,184,3,production_identity,True,run_0000,181
189,190,5,production_identity,True,run_0000,185
191,192,1,production_identity,True,run_0000,191
194,195,2,production_identity,True,run_0000,193
199,200,2,production_identity,True,run_0000,198
203,204,3,production_identity,True,run_0000,201
205,206,1,production_identity,True,run_0000,205
208,209,2,production_identity,True,run_0000,207
212,213,2,production_identity,True,run_0000,211
214,215,1,production_identity,True,run_0000,214
220,221,5,production_identity,True,run_0000,216
234,235,11,production_identity,True,run_0000,224
236,237,1,production_identity,True,run_0000,236
249,250,11,production_identity,True,run_0000,239
4,5,1,editorial_identity,True,run_0000,4
6,7,1,editorial_identity,True,run_0000,6
14,15,1,editorial_identity,True,run_0000,14
16,17,1,editorial_identity,True,run_0000,16
20,21,2,editorial_identity,True,run_0000,19
26,27,1,editorial_identity,True,run_0000,26
29,30,2,editorial_identity,True,run_0000,28
32,33,2,editorial_identity,True,run_0000,31
35,36,2,editorial_identity,True,run_0000,34
40,41,1,editorial_identity,True,run_0000,40
44,45,2,editorial_identity,True,run_0000,43
47,48,2,editorial_identity,True,run_0000,46
50,51,2,editorial_identity,True,run_0000,49
53,54,2,editorial_identity,True,run_0000,52
